Assembly,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Sequence_Type,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
GCF_011897435.1,,"Farlow,J., Freyberger,H.R., He,Y., Ward,A.M., Rutvisuttinunt,W., Li,T., Jacobs,A.C., Nikolich,M.P., Filippov,A.",2021-02-12T11:15:53.233Z,,Pseudomonas phage Epa5,,Siphoviridae,dsDNA,RefSeq,,,,,,,Pseudomonas sp.,,,,ASM1189743v1
GCF_003613455.1,,"Franke,B.K., Bonilla,J.A., Klyczek,K., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-02-10T19:46:24.420Z,,Microbacterium phage Efeko,,Siphoviridae,dsDNA,RefSeq,,,,"USA: Hudson, WI",USA,WI,Microbacterium paraoxydans,,2017-03-01,,ASM361345v1
GCF_003034655.1,,"Stanton,A.-C.J., Heskett,L., Lambert,A., Linder,D., Novinski,D., Bricker,J., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-02-10T19:46:12.913Z,,Microbacterium phage BonaeVitae,,Siphoviridae,dsDNA,RefSeq,,,,"USA: Grand Island, NE",USA,NE,Microbacterium paraoxydans,,2015-09-28,,ASM303465v1
GCF_003341335.1,,"Bachelani,S.F., Bookler,A., Buetow,B.S., Dailey,E.M., DeWindt,D.C.-M., Flandrick,S., Glynn,C., Hansen,B.R., Hass,A.M., Hoffstatter,E.W., Jacob,S.K.L., Jones,K., Lisowski,P.J., Luttrell,D.P., Paulus,B.K., Pliszka,M.A., Seif,K.S., Timm,P.H., Weinberg,M., Wright,R.S., Zobrist,M.A., Bonilla,J.A., Klyczek,K., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-02-10T19:46:01.523Z,,Microbacterium phage Quaker,,Siphoviridae,dsDNA,RefSeq,,,,"USA: River Falls, WI",USA,WI,Microbacterium foliorum,,2017-10-01,,ASM334133v1
GCF_013388145.1,,"Bishop,H., Blue,P., Bollinger,E., DeFlorio,A., Edmonds,H., Gonzalez,M., Green,W., Griffin,S., Harris,N., Hearell,J., Holland,T., Hollars,J., Larmore,C., Leininger,H., McKinney,R., Pollock,E., Ray,A., Smith,A., Stanislaw,P., Taylor,M., Tiffany,M., Walsh,C., Watson,S., Folse,N., Gainey,M.D., Wallen,J.R., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-02-10T19:45:52.233Z,,Microbacterium phage PoRanda,,Siphoviridae,dsDNA,RefSeq,,,,"USA: Cullowhee, NC",USA,NC,Microbacterium foliorum,,2019-09-01,,ASM1338814v1
GCF_003341695.1,,"Moreno,J., Bryant,B., Burch,A., Dorissaint,R., Douthitt,C., Garofalo,J., Kuiack,J., Marcillon,S., Norus,J., Parks,M., Wilse,K., Wiersma-Koch,H., D'Elia,T., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-02-10T19:45:43.337Z,,Microbacterium phage Noelani,,Siphoviridae,dsDNA,RefSeq,,,,"USA: Ft. Pierce, FL",USA,FL,Microbacterium foliorum,,2017-08-25,,ASM334169v1
GCF_012933915.1,,"Ariel,J.D., Backlas-Cruz,J., Chaudhry,M.A., Chin,A., Dicamillo,L.T., Ediriweera,G., Godshall,S.L., Guda,A., Heck,A.E., Hornbaker,A.C., Kubiak,E.V., Lamb,G.M., Mahmood,A., Mehta,I.R., Mula,M., Mulukutla,S., Pottasseril,K.S., Rub,H.A., Shah,S.M., Solanky,R.M., Suh,J.C., Evtimov,V.S., Gurney,S.M.R., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-02-10T19:45:33.637Z,,Microbacterium phage Nobel,,Siphoviridae,dsDNA,RefSeq,,,,"USA: Philadelphia, PA",USA,PA,Microbacterium foliorum,,2019-09-09,,ASM1293391v1
GCF_009672745.1,,"Duffy,I., Kerns,H.R., Brown,C.R., Ouellette,L.A., Showers,K.M., Katz,E.L., Gemmati,A.M., Ogueke,L.I., Latalladi,V.L., Duncan,J., Washington,J.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-02-10T19:45:21.200Z,,Microbacterium phage Kaijohn,,Siphoviridae,dsDNA,RefSeq,,,,"USA: San Antonio, FL",USA,TX,Microbacterium foliorum,,2018-10-01,,ASM967274v1
GCF_013426425.1,,"Thomas,B.M., Anderson,C.E., Brown,M.J., Cox,S.O., Downey,J.L., Griffin,B.T., Jensen,A., Lee,Y., Ludwig,A.S., Moon,M., Moran,M.J., Packard,T.D., Scott,T.M., Spencer,J.B., Vander Werff,K.J., Wells,B.M., Grose,J.H., Breakwell,D., Chamberlain,J.D., Doxey,E.C., Eastley,D., Hendricks,M.C., Pollenz,R.S., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-02-10T19:45:09.217Z,,Microbacterium phage Bri160,,Siphoviridae,dsDNA,RefSeq,,,,"USA: Provo, UT",USA,UT,Microbacterium foliorum,,2019-10-01,,ASM1342642v1
GCF_009689505.1,,"Nagle,A.M., Lula,M.A., Frappier,M., Jents,M.B., Twichel,T.M., Kadrmas,T.K., Burns,G.P., Fleischacker,C.L., Riley,H.L., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-02-10T19:44:59.213Z,,Microbacterium phage Azizam,,Siphoviridae,dsDNA,RefSeq,,,,"USA: Northampton, MA",USA,MA,Microbacterium foliorum,,2018-10-01,,ASM968950v1
GCF_003034705.1,,"Stanton,A.-C.J., Sivanathan,V., Eleri,A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-02-10T19:44:48.320Z,,Microbacterium phage PaoPu,,Siphoviridae,dsDNA,RefSeq,,,,"USA: Germantown, MD",USA,MD,Microbacterium foliorum,,2016-09-01,,ASM303470v1
GCF_002612005.1,,"Jia,S., Li,M., Chen,E.J., Armentrout,K.S., Shaffer,C.D., Hafer-Weston,K.A., Elgin,S.C.R., Molloy,S.D., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-01-22T16:03:35.837Z,,Mycobacterium phage Magnito,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: St. Louis, MO",USA,MO,Mycolicibacterium smegmatis,,2010-10-01,,ASM261200v1
GCF_009688085.1,,"Kistler,A.L., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T16:03:26.910Z,,Mycobacterium phage Traft412,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Portland, ME",USA,OR,Mycolicibacterium smegmatis MC2 155,,2016-10-01,,ASM968808v1
GCF_005145625.1,,"Fast,K.M., Forrest,B.E., Granec,G.R., Morse,A.E., Keener,T.W., Sandel,M.W., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T16:03:11.143Z,,Mycobacterium phage Sumter,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: West Livingston, AL",USA,AL,Mycolicibacterium smegmatis,,2018-10-01,,ASM514562v1
GCF_015045455.1,,"Luken,T.N., Hargrove,S.L., Feely,S.A., King,A.E., Wolfe,J.N., Liu,Z., Ballard,A.T., Potter,J., Stewart,T.A., Dutton,K.G., Maloney,E.M., Flatt,A.B., Becker,A., O'Quin,K.E., Nydam,M.L., Gaffney,B.L., Staples,A.K., King,R.A., Rinehart,C.A., Rowland,N.S., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T16:03:01.210Z,,Mycobacterium phage STLscum,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: St. Louis, MO",USA,MO,Mycolicibacterium smegmatis MC2 155,,2016-09-01,,ASM1504545v1
GCF_004147425.1,,"Cruz,W., Hudock,T., Sorge,A., Stroh,E., Schmidt,S.E., Tobiason,D.M., Curtis,N., Kistler,A.B., Roscher,J.E., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T16:02:51.363Z,,Mycobacterium phage SpikeBT,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Kenosha, WI",USA,WI,Mycolicibacterium smegmatis MC2 155,,2016-10-01,,ASM414742v1
GCF_009687965.1,,"Akram,A., Anu,A., Carreras,R., Chan,H., Chittineedi,T., Diaz,F., Doyle,L., Farooq,M., Geevarghese,K., Hashmi,M., Madhira,S.K., Mahmood,S., Mahmud,Z., Maravilla,J., Mathew,P., Miglani,S., Mirdha,N., Obi,C., Rosengarten,S., Salman,N., Varghese,A., Wafa,S., White,K., Nieto,F., Noutsos,C., Bednarczyk,R., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T16:02:41.097Z,,Mycobacterium phage Snazzy,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Ronan, MY",USA,MT,Mycolicibacterium smegmatis MC2 155,,2017-10-01,,ASM968796v1
GCF_002629565.1,,"Tso,M.S., Paredes,A., Zierold,M.E., Delesalle,V.A., Grose,J., Hope,S., Breakwell,D., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-01-22T16:02:31.353Z,,Mycobacterium phage Smairt,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Provo, UT",USA,UT,Mycolicibacterium smegmatis MC2 155,,2011-10-01,,ASM262956v1
GCF_003366555.1,,"Borchers,C., Eide,N.J., Geraets,E.M., Hage,C.N., Jenness,J.R., Jorgensen,H.J., Kamstra,S.E., Kingsriter,M.L., Martin,S.D., Mithelman,C.D., Muyskens,B., Peschau,L.R., Rowley,D.W.L., Tarchione,S.A., VanDenBerg,S.E., VanRiesen,M.R., Tolsma,S., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T16:02:20.640Z,,Mycobacterium phage Sibs6,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Johnston, IA",USA,IA,Mycolicibacterium smegmatis MC2 155,,2017-01-01,,ASM336655v1
GCF_009688145.1,,"Kistler,A.L., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T16:02:11.960Z,,Mycobacterium phage Sagefire,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Fort Kent, ME",USA,ME,Mycolicibacterium smegmatis MC2 155,,2015-10-01,,ASM968814v1
GCF_005145225.1,,"Murphy,A.C., Wolyniak,M.J., Kotturi,H., Stone,Z.S., Byrne,M., Kistler,A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T16:02:02.743Z,,Mycobacterium phage Rutherferd,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,,,,Mycolicibacterium smegmatis,,,,ASM514522v1
GCF_002997755.1,,"Roine,E., Aull,H.G., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T16:01:54.200Z,,Mycobacterium phage Ruotula,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,Finland: Tampere,Finland,,Mycolicibacterium smegmatis MC2 155,,2012-07-01,,ASM299775v1
GCF_003364775.1,,"Ramaswamy,R., Olsen,H., Choudhury,R.A., Shaffer,C.D., Weston-Hafer,K.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-01-22T16:01:45.277Z,,Mycobacterium phage Rohr,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: St. Louis, MO",USA,MO,Mycolicibacterium smegmatis MC2 155,,2014-09-01,,ASM336477v1
GCF_004339945.1,,"Nsa,I.Y., Odunsi,A., Bamisaye,S.D., Oyetibo,G.O., Egwuatu,T.O.G., Ilori,M.O., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T16:01:36.197Z,,Mycobacterium phage Ringer,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Holland, MI",USA,MI,Mycolicibacterium smegmatis MC2 155,,2011-10-01,,ASM433994v1
GCF_003867135.1,,"LeClerg,J.L., Croke,D.R., Crolley,B.M., Lewis,A.L., McNeil,S.L., Paskowitz,A.P., Reed,A.T., Simpson,C.M., Way,M.A., Frost,V.J., Westover,K.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T16:01:26.417Z,,Mycobacterium phage Rhynn,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Rock Hill, SC",USA,SC,Mycolicibacterium smegmatis,,2017-08-29,,ASM386713v1
GCF_004148205.1,,"Dizon,M.G., Ouyang,W.O., Zhang,Z., Shaffer,C.D., Weston-Hafer,K.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-01-22T16:01:17.607Z,,Mycobacterium phage Rajelicia,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: St. Louis, MO",USA,MO,Mycolicibacterium smegmatis MC2 155,,2012-09-01,,ASM414820v1
GCF_003366255.1,,"Wise,N.M., Behling,E.M., Boulos,L.R., Gara,K.A., Gayer,M.N., Lukasko,L.E., Moss,M.J., Noss,J.E., Valente,K.M., Stoian,N., Larsen,R.A., Phuntumart,V., Xu,Z., Zeilstra-Ryalls,J., Bollivar,D.W., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T16:01:09.177Z,,Mycobacterium phage Pita2,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Bowling Green, OH",USA,OH,Mycolicibacterium smegmatis MC2 155,,2017-09-01,,ASM336625v1
GCF_002959005.1,,"Dorman,M.T., Melotto,H., Hutchison,K.W., Molloy,S.D., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-01-22T16:01:00.457Z,,Mycobacterium phage Pippin,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Orono, ME",USA,ME,Mycolicibacterium smegmatis,,2014-09-01,,ASM295900v1
GCF_002617485.1,,"King,R.D., Delesalle,V.A., Grose,J., Hope,S., Breakwell,D., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-01-22T16:00:44.487Z,,Mycobacterium phage Petruchio,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Provo, UT",USA,UT,Mycolicibacterium smegmatis MC2 155,,2011-10-01,,ASM261748v1
GCF_002613365.1,,"Balish,M.F., Podolyan,S.A., Kurek,P.N., Donna,J.M., Stetzel,L.N., Ream,D.C., Friedberg,I., Janssen,G.R., Delesalle,V.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-01-22T16:00:34.457Z,,Mycobacterium phage PacerPaul,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Carmel, IN",USA,IN,Mycolicibacterium smegmatis MC2 155,,2014-10-01,,ASM261336v1
GCF_003182845.1,,"Zhang,D., Hatherill,J.R., Ramirez,J.F., Pray,R., Overath,D.R., Adame,J.L., Cantu,S.E., Gonazlez,J.T., Lerma,C.E., Leyva,L.C., Frontera,J.K., Galbreath,F.N., Garza,N., Gibeaut,D.H., Hernandez,A.L., Lazaro,A.D., Martinez,M.R., McGraw,K.S., Mendonca,B.L., Mulder,H.E., Nasr,D.A., Nguyen,Y.T., Painter,J.B., Pena,E.C., Rehtmeyer,N., Spicak,I.A., Winser,Y.M., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T16:00:25.697Z,,Mycobacterium phage Oogway,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Corpus Christi, TX",USA,TX,Mycolicibacterium smegmatis MC2 155,,2014-10-01,,ASM318284v1
GCF_003341675.1,,"Magouh,K., Coburn,K.J., Doyle,J.F., Gaffney,B.L., King,R.A., Logan,A.M., Miller,K.W., Murphy,J.L., Newton,J.D., Rinehart,C.A., Staples,A.K., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-01-22T16:00:11.960Z,,Mycobacterium phage Niza,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Louisville, KY",USA,KY,Mycolicibacterium smegmatis MC2 155,,2016-01-25,,ASM334167v1
GCF_003366775.1,,"Hartz,R., Malene,J., Chia,C.P., Butela,K.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T16:00:00.797Z,,Mycobacterium phage NEHalo,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Omaha, NE",USA,NE,Mycolicibacterium smegmatis MC2 155,,2016-10-01,,ASM336677v1
GCF_014488915.1,,"Ellis,S.A., Blaszczyk,R.A., Anyaoku,C., Delesalle,V.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T15:59:52.233Z,,Mycobacterium phage Mule,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Provo, UT",USA,UT,Mycolicibacterium smegmatis,,2009-10-01,,ASM1448891v1
GCF_003340935.1,,"Ricketts,M.K., Bayless,C., Pedulla,M., Gregory,J., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T15:59:43.187Z,,Mycobacterium phage Mryolo,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Helena, MT",USA,MT,Mycolicibacterium smegmatis MC2 155,,2012-10-01,,ASM334093v1
GCF_002997635.1,,"Thomas,A., Piccirillo,M., Barshop,W.D., Shaffer,C.D., Weston-Hafer,K.A., Russell,D.A., Pope,W.H., Betsko,A.J., Stoner,T.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T15:59:34.103Z,,Mycobacterium phage MPlant7149,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: St. Louis, MO",USA,MO,Mycolicibacterium smegmatis MC2 155,,2009-10-01,,ASM299763v1
GCF_003340915.1,,"Frank,C.I., Michaud,E., Shevenell,B.E., Stanley,S.E., Montgomery,J.R., Doty,J.A., Brenton,T.S., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T15:59:25.347Z,,Mycobacterium phage Michley,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,USA: Farmington ME,USA,ME,Mycolicibacterium smegmatis MC2 155,,2016-10-01,,ASM334091v1
GCF_014338335.1,,"Shim,Y.N., Shin,S.C., Sieling,W., Kogler,A., Boozalis,T., Lui,K., Shaffer,C.D., Weston-Hafer,K.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T15:59:16.623Z,,Mycobacterium phage MaryBeth,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: St. Louis, MO",USA,MO,Mycolicibacterium smegmatis MC2 155,,2012-09-01,,ASM1433833v1
GCF_003442855.1,,"Diep,C.Q., Baker,A., Bollard,K., Brown,A., Brown,K., Caldwell,M., Carlins,T., Doyle,A., Eddens,J., Frazier,C., Hartman,E., Kepple,H., Murphy,K., Nobles-Anderson,S., Schaffer,B., Serafin,J., Sisko,C., Stovall,A., Swartz,T., Tudor,C., Williams,K., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Se,D., Hatfull,G.F.",2021-01-22T15:59:07.513Z,,Mycobacterium phage Maroc7,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: American Fork, UT",USA,UT,Mycolicibacterium smegmatis MC2 155,,2010-09-01,,ASM344285v1
GCF_012934345.1,,"Markov,G.S., Tse,J., Cote,T.C., Leon,X., Mohundro,M.B., St. Pierre,J., Watson,T.S., Woehlert,C.E., Pollack,M.J., Eivazova,E.R., Kistler,A.L., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T15:58:58.687Z,,Mycobacterium phage Manatee,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Baltimore, MD",USA,MD,Mycolicibacterium smegmatis MC2 155,,2011-10-01,,ASM1293434v1
GCF_003341355.1,,"Balish,M.F., Schichter,J.W., Chetty,B.N., D'Silva,S., Kausch,I.G., Kluth,S.N., Myers,M.K., Schilling,G.M., Biedenharn,A.M., Burgess,A.C., Lucas,E.A., Squire,M.S., Abshire,K.Z., Actis,L.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T15:58:48.970Z,,Mycobacterium phage Magnar,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Oxford, OH",USA,OH,Mycolicibacterium smegmatis MC2 155,,2017-09-01,,ASM334135v1
GCF_003024055.1,,"Pierre,B.T., Edilania,C., STFelix,R.D., Yan,W., Anika,C., Hassanali,A.K., Washington,J.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-01-22T15:58:40.180Z,,Mycobacterium phage Lopton,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Middletown, NY",USA,NY,Mycolicibacterium smegmatis MC2 155,,2016-10-01,,ASM302405v1
GCF_009672945.1,,"Doyle,J., Compton,A.N., Railey,J.M., Gordon,P.T., McCormick,K., Newton,J.D., Gaffney,B.L., Staples,A.K., King,R.A., Rinehart,C.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-01-22T15:58:31.563Z,,Mycobacterium phage KyMonks1A,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Gethsemane, KY",USA,KY,Mycolicibacterium smegmatis MC2 155,,2016-09-01,,ASM967294v1
GCF_009686085.1,,"Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T15:58:23.040Z,,Mycobacterium phage Killigrew,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Corpus Christi, TX",USA,TX,Mycolicibacterium smegmatis MC2 155,,2016-10-01,,ASM968608v1
GCF_009686205.1,,"Kistler,A.L., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T15:58:12.913Z,,Mycobacterium phage Kanely,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Champlain, VA",USA,VA,Mycolicibacterium smegmatis MC2 155,,2015-10-01,,ASM968620v1
GCF_014824395.1,,"Williams,D.C., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T15:58:03.840Z,,Mycobacterium phage Jorgensen,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Conway, SC",USA,SC,Mycolicibacterium smegmatis MC2 155,,2019-07-29,,ASM1482439v1
GCF_009187345.1,,"McKinney,A., Batt,M., Brown,N., Griger,S., Le,H., Lucas,B., Meints,B., Nguyen,T., Niemann,M., Pfenning,K., Porter,K., Klyczek,K., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T15:57:55.353Z,,Mycobacterium phage JackSparrow,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Lincoln, NE",USA,NE,Mycolicibacterium smegmatis,,2015-10-01,,ASM918734v1
GCF_002744675.1,,"Bruinsma,S.N., Jeltema,J.L., Muro,J.L., Preston,P.A., Schutt,A., Van,R.M., Yoerger,A., Tolsma,S., Washington,J.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-01-22T15:57:46.897Z,,Mycobacterium phage ILeeKay,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Salem, UT",USA,UT,Mycolicibacterium smegmatis MC2 155,,2010-10-01,,ASM274467v1
GCF_002997565.1,,"McNally,L.J., Ciardiello,E., Edgington,N.P., Betsko,A.J., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T15:57:37.747Z,,Mycobacterium phage Ichabod,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: New Haven, CT",USA,CT,Mycolicibacterium smegmatis MC2 155,,2011-10-01,,ASM299756v1
GCF_014337695.1,,"Babalola,O., Connaught,B.L., Shafique,B.F., Nieto,F.E., Catapano,R., Gurney,S.M.R., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T15:57:27.340Z,,Mycobacterium phage HarryOW,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,USA,USA,,Mycolicibacterium smegmatis,,2018-09-09,,ASM1433769v1
GCF_003023975.1,,"Chilinski,C.M., Linke,S.E., Proctor,A.M., Pedulla,M.L., Serrano,M.G., Buck,G., Lee,V., Wang,Y., Carvalho,R., Voegtly,L., Shi,R., Duckworth,R., Johnson,A., Loviza,R., Walstead,R., Shah,Z., Kiflezghi,M., Wade,K., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T15:57:18.430Z,,Mycobacterium phage GageAP,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Helena, MT",USA,MT,Mycolicibacterium smegmatis MC2 155,,2013-10-01,,ASM302397v1
GCF_002990365.1,,"Hashmi,F., Hernandez,R., Marcotte,A., Milaschouskas,T., Monahan,B., Overturf,K., Vergara,C., Waite,J., Molloy,S.D., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-01-22T15:57:09.723Z,,Mycobacterium phage Fajezeel,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"USA: Orono, ME",USA,ME,Mycolicibacterium smegmatis,,2015-09-10,,ASM299036v1
GCF_004520695.1,,"Turnbull,J., Davies,C.G., Grundy,S., Palmer,E., Wojtus,J.K., Hoskin,A.F.M., Scott,J., Sweatman,J.A., Elliston-Boyes,N., Oosthuizen,L., Freed,N.E., Hendrickson,H.L., Divens,A.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-01-22T15:57:00.550Z,,Mycobacterium phage Dulcie,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,,"New Zealand: Albany, Auckland",New Zealand,,Mycolicibacterium smegmatis MC2 155,,2017-02-01,,ASM452069v1
