Assembly,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Sequence_Type,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
GCF_002987965.1,NA,"Bull,S.E., Tsai,W.S., Briddon,R.W., Markham,P.G., Stanley,J., Green,S.K.",2018-08-26T16:18:45Z,NA,Tomato leaf curl Nepal betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Nepal:Jhapa,Nepal,NA,Solanum lycopersicum,plant leaf,NA,NA,ASM298796v1
GCF_002987955.1,NA,"Bull,S.E., Tsai,W.S., Briddon,R.W., Markham,P.G., Stanley,J., Green,S.K.",2018-08-26T16:18:37Z,NA,Tomato leaf curl Laos betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Laos:Savannakhet,Laos,NA,Solanum lycopersicum,plant leaf,NA,NA,ASM298795v1
GCF_002987875.1,NA,"Kulshreshtha,A., Sharma,D., Hallan,V., Zaidi,A.A.",2018-08-26T16:18:29Z,Himachal,Mirabilis leaf curl betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,"India:Himachal Pradesh, Pragpur (Kangra)",India,NA,Mirabilis jalapa,plant leaf,2013-07-04,NA,ASM298787v1
GCF_002987885.1,NA,"Tahir,M., Haider,M.S., Iqbal,J., Briddon,R.W.",2018-08-26T16:15:26Z,NA,Tobacco leaf curl betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,Pakistan:Punjab Lahore,Pakistan,NA,Euphorbia tithymaloides,plant leaf,2004-09-03,NA,ASM298788v1
GCF_002830385.1,NA,"Wang,Y.C., Qing,L.",2018-08-26T15:34:06Z,SC230,Tomato yellow leaf curl Yunnan betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,China: Sichuan,China,NA,Nicotiana tabacum,NA,NA,NA,ASM283038v1
GCF_002830365.1,NA,"Zhu,X., Sun,G.",2018-08-26T15:33:11Z,SDSG,Tomato yellow leaf curl Shandong betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,China: Shandong Shouguang,China,NA,Solanum lycopersicum,NA,2014-10-09,NA,ASM283036v1
GCF_002830345.1,NA,"Sivalingam,P.N., Malathi,V.G., Varma,A.",2018-08-26T15:33:05Z,NA,Tomato yellow leaf curl Rajasthan betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India: Rajasthan,India,NA,NA,NA,NA,NA,ASM283034v1
GCF_002830325.1,NA,"Mahmoudieh,M.K., Mohamad Roff,M.N., Harikrishna,J.A., Othman,R.Y.",2018-08-26T15:32:21Z,Malaysia,Tomato leaf curl Malaysia betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,Malaysia,Malaysia,NA,Solanum lycopersicum,NA,2013,NA,ASM283032v1
GCF_002830305.1,NA,"Matsuda,N., Sharma,P., Bajet,N.B., Ikegami,M.",2018-08-26T15:32:17Z,Laguna1,Tomato leaf curl Laguna betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Philippines: Laguna,Philippines,NA,Solanum lycopersicum,NA,NA,NA,ASM283030v1
GCF_002830265.1,NA,"Sivalingam,P.N., Malathi,V.G., Varma,A.",2018-08-26T15:32:10Z,ToLCBV-AVT1,Tomato leaf curl Bangalore betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India: Bangalore,India,NA,NA,NA,NA,NA,ASM283026v1
GCF_002830245.1,NA,"Singh,M., Mandal,B., Varma,A.",2018-08-26T15:31:14Z,Pusa-Bihar,Tobacco leaf curl Patna betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India: Pusa Bihar,India,NA,Nicotiana tabacum,plant leaf,2009,NA,ASM283024v1
GCF_002830225.1,NA,"Zhang,J., Zhang,S., Zhu,C., Lin,W., Wu,Z.",2018-08-26T15:31:08Z,FZ02,Siegesbeckia yellow vein betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,China,China,NA,Sigesbeckia glabrescens,NA,2012-11-23,NA,ASM283022v1
GCF_002830185.1,NA,"Bhatt,B.S., Singh,A.K.",2018-08-26T15:30:16Z,NA,Rhynchosia yellow mosaic betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India: Gandhinagar,India,NA,Phaseolus vulgaris,plant leaf,2014,NA,ASM283018v1
GCF_002830165.1,NA,NA,2018-08-26T15:30:11Z,Panipat-6,Papaya leaf curl India betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India: Haryana,India,NA,Carica papaya,plant leaf,2008-04,NA,ASM283016v1
GCF_002830145.1,NA,"Shen,W.T., Tuo,D.C., Yang,Y., Zhou,P.",2018-08-26T15:30:07Z,China:Hainan:2014,Papaya leaf curl China betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,China,China,NA,Carica papaya,plant leaf,2014-01,NA,ASM283014v1
GCF_002830125.1,NA,"Akhtar,S., Khan,A.J., Singh,A.S., Briddon,R.W.",2018-08-26T15:29:11Z,OKB-1,Okra leaf curl Oman betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Oman: Barka,Oman,NA,Abelmoschus esculentus,plant leaf,2012,NA,ASM283012v1
GCF_002830085.1,NA,"Were,H.K., Takanami,Y.",2018-08-26T15:29:05Z,HY-12,Honeysuckle yellow vein mosaic betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,"Japan: Kobe, Hyogo",Japan,NA,Lonicera japonica,NA,NA,NA,ASM283008v1
GCF_002830065.1,NA,"Ueda,S., Onuki,M., Hanada,K., Takanami,Y.",2018-08-26T15:28:20Z,Suya-2003,Eupatorium yellow vein mosaic betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,"Japan: Nishigoshi, Suya",Japan,NA,Eupatorium makinoi,NA,2003,NA,ASM283006v1
GCF_002830025.1,NA,"Senanayake,D.M., Shilpi,S., Jayasinghe,J.E., Wasala,S.K., Mandal,B.",2018-08-26T15:28:15Z,CL-15,Chili leaf curl Sri Lanka betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,"Sri Lanka: Nochchiyagama, Mihiripura",Sri Lanka,NA,Capsicum,NA,2009-11,NA,ASM283002v1
GCF_002830005.1,NA,"Singh,A.K., Chattopadhyay,B., Chakraborty,S.",2018-08-26T15:28:04Z,India/Jaunpur/Chilli/2007,Chili leaf curl Jaunpur betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India: Jaunpur,India,NA,Capsicum,NA,2007-02,NA,ASM283000v1
GCF_000925215.2,NA,"Fiallo-Olive,E., Chirinos,D.T., Geraud-Pouey,F., Moriones,E., Navas-Castillo,J.",2017-07-13T14:04:53Z,1764E13,Sweet potato leaf curl deltasatellite 2,Deltasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,Venezuela,Venezuela,NA,Distimake dissectus,NA,2009-11,NA,ViralProj263030
GCF_002080175.1,NA,"Hamza,M., Mansoor,S., Briddon,R.W., Amin,I., Rana,M.",2017-04-06T01:00:41Z,NA,Tomato leaf curl Pakistan betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,"Pakistan:Punjab, Garh Maharaja",Pakistan,NA,Cyamopsis tetragonoloba,plant leaf,NA,NA,ViralProj381654
GCF_001995595.1,NA,"Shahid,M.S., Pudashini,B.J., Khatri-Chhetri,G.B., Briddon,R.W., Natsuaki,K.T.",2017-02-15T01:01:03Z,NA,Pea leaf distortion betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Nepal,Nepal,NA,Pisum sativum,plant leaf,2010-11-25,NA,ViralProj369555
GCF_001907845.1,NA,"Mollel,H.G., Ndunguru,J., Sseruwagi,P., Alicai,T., Colvin,J., Navas-Castillo,J., Fiallo-Olive,E.",2016-12-18T01:06:50Z,UG7,Vernonia crinkle betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Uganda,Uganda,NA,Gymnanthemum amygdalinum,NA,2015-03-06,NA,ViralProj357838
GCF_001669805.1,NA,"Leke,W.N., Mignouna,D.B., Brown,J.K., Fondong,V.N.",2016-06-19T01:00:21Z,Cameroon-Kumba-Papaya-20-14,Momordica yellow mosaic betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,Benin,Benin,NA,Momordica charantia,NA,2014,NA,ViralProj326001
GCF_000846005.2,NA,"Ding,M., Li,W., Zhang,Z.",2016-03-23T23:37:12Z,NA,Tobacco leaf curl Yunnan betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,China,China,NA,Solanum lycopersicum,NA,2012-01-22,NA,ViralProj14539
GCF_001505475.1,NA,"Shahid,M.S., Natsuaki,K.T.",2016-01-07T02:38:32Z,NA,Malvastrum yellow vein Chitwan betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,Nepal,Nepal,NA,Phaseolus lunatus,NA,2010-12-23,NA,ViralProj307869
GCF_001430615.1,NA,"Venkataravanappa,V., Chauhan,N.S., Krishna Reddy,M.",2015-11-03T01:02:03Z,WOK73,Luffa begomovirus betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,"India: Uttar Pradesh, Varanasi",India,NA,Hibiscus cannabinus,plant leaf,2014,NA,ViralProj300250
GCF_001430415.1,NA,"Venkataravanappa,V., Chauhan,N.S., Sanwal,S.K., Singh,B., Krishna Reddy,M.",2015-11-03T01:01:48Z,OK113,Malachra yellow vein mosaic betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,"India: Punjab, Ludhiana",India,NA,Abelmoschus esculentus,plant leaf,2014,NA,ViralProj300249
GCF_001020035.1,NA,"Zia Ur Rehman,M., Haider,M.S., Zia ur Rehman,M.",2015-06-04T01:01:11Z,[Pakistan:20-4:06] Faisalabad1,Kenaf leaf curl betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,Pakistan:Faisalabad,Pakistan,NA,Alcea rosea,plant leaf,2006,NA,ViralProj285590
GCF_000920515.2,NA,"Khan,A., Samad,A.",2015-05-17T01:01:29Z,NA,Andrographis yellow vein leaf curl betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India: Lucknow,India,NA,Andrographis paniculata,plant leaf,2010-10,NA,ViralProj243492
GCF_000923375.1,NA,"Nehra,C., Sahu,A.K., Gaur,R.K.",2015-02-22T19:02:04Z,AS23,Rose leaf curl betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India,India,NA,Rosa,NA,2014-03-01,NA,ViralProj257741
GCF_000923295.1,NA,"Kulshreshtha,A., Sharma,D., Hallan,V., Zaidi,A.A.",2015-02-22T19:02:01Z,Pragpur,Mirabilis leaf curl India virus associated betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India,India,NA,Mirabilis jalapa,plant leaf,2013-07-04,NA,ViralProj255800
GCF_000921035.1,NA,"Sharma,A., Kaur,G., Sarao,N.K.",2015-02-22T18:59:05Z,India:Gurdaspur:Okra:2013,Luffa puckering and leaf distortion-associated betasatellite [India:Gurdaspur:Okra:2013],Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India,India,NA,Abelmoschus esculentus,NA,2013-08,NA,ViralProj253218
GCF_000918115.1,NA,"Tang,Y.F., He,Z.F.",2015-02-22T18:53:58Z,G8,Malvastrum leaf curl Guangdong betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,China: Guangzhou,China,NA,Malvastrum coromandelianum,NA,2011-08-25,NA,ViralProj243827
GCF_000915855.1,NA,"Du,Z., Chen,M., Wang,Z., Liu,Y., Zhang,S., He,Z.",2015-02-22T18:51:19Z,VN1,Hedyotis yellow mosaic betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Viet Nam: Phu My,Viet Nam,NA,Hedyotis uncinella,NA,2013-02-04,NA,ViralProj230991
GCF_000915235.1,NA,"Rathore,S., Bhatt,B.S., Yadav,B.K., Kale,R.K., Singh,A.K.",2015-02-22T18:50:54Z,pToGNbH14,Tomato leaf curl Gandhinagar betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India,India,NA,Solanum lycopersicum,plant leaf,2012-12-12,NA,ViralProj231683
GCF_000910735.1,NA,"She,X.M., He,Z.F.",2015-02-22T18:45:48Z,Mc1,Malvastrum leaf curl deltasatellite,Deltasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,Philippines,Philippines,NA,Malvastrum coromandelianum,NA,2012-09-26,NA,ViralProj214366
GCF_000908515.1,NA,"Sahu,A.K., Marwal,A., Gaur,R.K.",2015-02-22T18:41:32Z,AnAv,Chili leaf curl Bhatinda betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,"India: Bhatinda, Punjab",India,NA,Capsicum,NA,2012-02-14,NA,ViralProj206467
GCF_000904615.1,NA,"Marwal,A., Sahu,A.K., Choudhary,D.K., Gaur,R.K.",2015-02-22T18:37:56Z,Sikar M 2,Ageratum leaf curl betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,"India: Lakshmangarh, Rajasthan",India,NA,Tagetes patula,NA,2012-01-16,NA,ViralProj195929
GCF_000904215.1,NA,"Archana,K., Malathi,V.G.",2015-02-22T18:37:20Z,Maharashtra,Corchorus yellow vein mosaic betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India,India,NA,Corchorus olitorius,NA,2011-11-27,NA,ViralProj192608
GCF_000901415.1,NA,"Idris,A.M., Abdullah,N.M., Brown,J.K.",2015-02-22T18:30:17Z,Had:tob56:89,Tomato leaf curl Yemen betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Yemen,Yemen,NA,Nicotiana tabacum,NA,1989,NA,ViralProj177643
GCF_000900915.1,NA,"Jing,Z., Tao,R., Ling,Q.",2015-02-22T18:28:44Z,SC176,Tomato yellow leaf curl China betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,China: Sichuan,China,NA,Malva parviflora,NA,NA,NA,ViralProj181248
GCF_000900355.1,NA,"Chaudhary,A., Vu,T.V., Mukherjee,S.K.",2015-02-22T18:28:05Z,India:Faizabad:Cow Pea:2012,Mungbean yellow mosaic betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India,India,NA,Vigna unguiculata,plant leaf,2012-06-15,NA,ViralProj177773
GCF_000899295.1,NA,"Shih,S.L., Tsai,W.S., Lee,L.M., Kenyon,L.",2015-02-22T18:26:20Z,NA,Sauropus leaf curl disease associated DNA beta,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,Thailand: Kamphaeng Saen,Thailand,NA,Sauropus androgynus,NA,2010,NA,ViralProj176433
GCF_000899255.1,NA,"Kumar,J., Gunapati,S., Singh,S.P., Kumar,A., Lalit,A., Sharma,N.C., Puranik,R., Tuli,R.",2015-02-22T18:26:09Z,NA,Tomato leaf curl Hajipur betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,India,India,NA,Solanum lycopersicum,NA,2010-08,NA,ViralProj175587
GCF_000897935.1,NA,"Kumar,J., Singh,S.P., Kumar,A., Khan,J.A., Tuli,R.",2015-02-22T18:23:51Z,03,Tobacco leaf chlorosis betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,India,India,NA,Nicotiana tabacum,NA,2010-06,NA,ViralProj178075
GCF_000897335.1,NA,"Akram,M., Naimuddin, Yadav,P.",2015-02-22T18:22:58Z,FbLCbeta,French bean leaf curl betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India,India,NA,Phaseolus vulgaris,plant leaf,2011,NA,ViralProj169556
GCF_000897035.1,NA,"Chakrabarty,P.K., Sable,S.V., Kalbande,B.B., Chavhan,R.L., Monga,D., Koundal,V., Kumar,D., Pappu,H.R.",2015-02-22T18:22:40Z,Sirsa-DC,Cotton leaf curl virus betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India,India,NA,Gossypium hirsutum,NA,2009-08,NA,ViralProj162497
GCF_000894135.1,NA,"Trenado,H.P., Lozano,G., Navas-Castillo,J.",2015-02-22T18:18:08Z,SBG51,Sweet potato leaf curl deltasatellite 1,Deltasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,Spain,Spain,NA,Ipomoea batatas,NA,NA,NA,ViralProj80873
GCF_000892915.1,NA,"Zulfiqar,A., Zhang,J., Cui,X., Zhou,X., Xie,Y.",2015-02-22T18:16:33Z,NA,Vernonia yellow vein Fujian betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,China,China,NA,Cyanthillium cinereum,NA,2009-10-10,NA,ViralProj72143
GCF_000891415.1,NA,"Venkataravanappa,V., Reddy,C.N., Swaranalatha,P., Jalali,S., Briddon,R.W., Reddy,M.K., Lakshiminarayanareddy,C.N., Krishnareddy,M.",2015-02-22T18:14:40Z,EL10,Okra enation leaf curl betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,"India: Sonipat, Haryana",India,NA,Abelmoschus esculentus,plant leaf,2006,NA,ViralProj61781
GCF_000891395.1,NA,"Venkataravanappa,V., Reddy,C.N., Swaranalatha,P., Jalali,S., Briddon,R.W., Reddy,M.K., Lakshiminarayanareddy,C.N., Krishnareddy,M.",2015-02-22T18:14:39Z,OY164,Bhendi yellow vein India betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,"India: Aurangabad, Maharashtra",India,NA,Abelmoschus esculentus,plant leaf,2006,NA,ViralProj61557
GCF_000889595.1,NA,"Venkataravanappa,V., Reddy,C.N., Swaranalatha,P., Jalali,S., Briddon,R.W., Reddy,M.K., Lakshiminarayanareddy,C.N., Krishnareddy,M.",2015-02-22T18:12:43Z,OYCo1,Bhendi yellow vein mosaic betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,"India: Coimbator, Tamil Nadu",India,NA,Abelmoschus esculentus,plant leaf,2005,NA,ViralProj61777
GCF_000889475.1,NA,"Kon,T., Gilbertson,R.L.",2015-02-22T18:12:32Z,NA,Tomato leaf curl Togo betasatellite-[Togo:2006],Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Togo,Togo,NA,Solanum lycopersicum,NA,2006,NA,ViralProj60629
GCF_000889335.1,NA,"Singh,M.K., Singh,K., Haq,Q.M., Mandal,B., Varma,A., Singh,M.",2015-02-22T18:12:26Z,NA,Tomato leaf curl Bangladesh betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,India: Pusa Bihar,India,NA,Nicotiana tabacum,plant leaf,2009,NA,ViralProj56017
GCF_000888815.1,NA,"Leke,W.N., Brown,J.K., Ligthart,M.E., Sattar,N., Njualem,D.K., Kvarnheden,A., Nkeabeng Leke,W.",2015-02-22T18:11:54Z,SatB33,Ageratum leaf curl Buea betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Cameroon,Cameroon,NA,NA,NA,NA,NA,ViralProj60749
GCF_000887135.1,NA,"Zaffalon,V., Mukherjee,S.K., Reddy,V.S., Thompson,J.R., Tepfer,M.",2015-02-22T18:09:34Z,NA,Cotton leaf curl Burewala betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,India:Punjab,India,NA,Gossypium hirsutum,NA,2007-09,NA,ViralProj45933
GCF_000885995.1,NA,"Packialakshmi,R.M., Srivastava,N., Girish,K.R., Usha,R., Ramakrishnan,U.",2015-02-22T18:08:01Z,Madurai,Vernonia yellow vein betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,India:Madurai,India,NA,Cyanthillium cinereum,plant leaf,NA,NA,ViralProj41303
GCF_000885355.1,NA,"Salim,N., Nawaz-ul-Rehman,M.S., Fauquet,C.M.",2015-02-22T18:06:42Z,NA,Leucas zeylanica yellow vein virus satellite DNA beta,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,Sri Lanka,Sri Lanka,NA,Leucas zeylanica,NA,2006,NA,ViralProj41305
GCF_000884735.1,NA,"Leke,W.N., Bessem,E.N., NJualem,D.K., Titanji,V.P., Brown,J.K., Kvarnheden,A.",2015-02-22T18:06:02Z,AGLI4B1,Ageratum leaf curl Cameroon betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,Cameroon:Buea,Cameroon,NA,Ageratum conyzoides,NA,NA,NA,ViralProj36669
GCF_000882795.1,NA,"Kumari,P., Singh,A.K., Chattopadhyay,B., Chakraborty,S.",2015-02-22T18:04:24Z,NA,Tomato leaf curl Patna betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,"India: Patna, Bihar",India,NA,Solanum lycopersicum,NA,NA,NA,ViralProj36541
GCF_000881315.1,NA,"Yang,C.X., Wu,Z.J.",2015-02-22T18:03:04Z,Fz1,Emilia yellow vein virus-associated DNA beta,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,China,China,NA,Emilia sonchifolia,NA,NA,NA,ViralProj37893
GCF_000879715.1,NA,"Ghosh,R., Paul,S., Das,S., Palit,P., Acharyya,S., Das,A., Mir,J.I., Ghosh,S.K., Roy,A.",2015-02-22T18:01:13Z,Barrackpore,Malachra yellow vein mosaic virus-associated satellite DNA beta,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India,India,NA,Malachra,NA,NA,NA,ViralProj28727
GCF_000879295.1,NA,"Ding,M., Yue,N., Zhang,Z.",2015-02-22T18:00:24Z,YN323,Pepper leaf curl Yunnan virus satellite DNA beta,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,China,China,NA,Capsicum annuum,NA,NA,NA,ViralProj29415
