Host,Species,Assembly,SRA_Accession,Submitters,Release_Date,Isolate,Genus,Family,Molecule_type,Sequence_Type,Genotype,Segment,Publications,Geo_Location,Country,USA,Isolation_Source,Collection_Date,BioSample,GenBank_Title,Species_superkingdom,Species_family,Species_genus,Species_species,Species_no rank,Species_clade,Species_kingdom,Species_phylum,Species_class,Species_order,Species_subfamily,Host_no rank,Host_superkingdom,Host_kingdom,Host_phylum,Host_subphylum,Host_clade,Host_class,Host_order,Host_family,Host_subfamily,Host_tribe,Host_subtribe,Host_genus,Host_species,Host_subgenus,Host_section,Host_varietas,Host_superclass,Host_superorder,Host_suborder,Host_infraorder,Host_parvorder,Host_superfamily,Host_infraclass,Host_subclass,Host_subspecies,Host_strain,Host_cohort,Host_species group,Host_serogroup,Host_subsection,Host_subkingdom,Host_forma,Host_subcohort
Abelmoschus esculentus,Cotton leaf curl Gezira alphasatellite,GCF_000886955.1,NA,"Tiendrebeogo,F., Lefeuvre,P., Hoareau,M., Villemot,J., Konate,G., Traore,A.S., Barro,N., Traore,V.S., Reynaud,B., Traore,O., Lett,J.M.",2015-02-22T18:09:19Z,BF:Kampala:Okra7,Colecusatellite,Alphasatellitidae,ssDNA,RefSeq,NA,NA,1,Burkina Faso:Kampala,Burkina Faso,NA,NA,2008-10,NA,ViralProj42507,Viruses,Alphasatellitidae,Colecusatellite,Cotton leaf curl Gezira alphasatellite,,,Viruses,,,,Geminialphasatellitinae,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Bhendi yellow vein betasatellite,GCF_000843925.1,NA,"Jose,J., Usha,R.",2015-02-12T16:36:47Z,Muthuppatti,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,"India:Madurai, Tamil Nadu",India,NA,NA,NA,NA,ViralProj14445,Viruses,Tolecusatellitidae,Betasatellite,Bhendi yellow vein betasatellite,,,Viruses,,,,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Ageratum conyzoides associated symptomless alphasatellite,GCF_000921555.1,NA,"Serfraz,S., Amin,I., Mansoor,S., Briddon,R.W.",2015-02-22T18:59:46Z,Okra,NA,Alphasatellitidae,ssDNA,RefSeq,NA,NA,NA,"Pakistan:Panu Aqil, Sindh",Pakistan,NA,plant leaf,2012-10-10,NA,ViralProj259293,Viruses,Alphasatellitidae,,Ageratum conyzoides associated symptomless alphasatellite,unclassified Begomovirus-associated alphasatellites,,Viruses,,,,Geminialphasatellitinae,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Bhendi yellow vein Delhi virus,GCF_001046725.1,NA,"Venkataravanappa,V., Lakshminarayanareddy,C., Devaraju, Swarnalatha,P., Jalali,S., Krishnareddy,M.",2015-07-04T01:01:00Z,OY131,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,NA,"India: New Delhi, Palem",India,NA,NA,2004,NA,ViralProj33677,Viruses,Geminiviridae,Begomovirus,Bhendi yellow vein Delhi virus,unclassified Begomovirus,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Okra leaf curl Oman virus,GCF_001504015.1,NA,"Khan,A.J., Akhtar,S.",2016-01-07T02:11:13Z,OK-2,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Oman:Barka,Oman,NA,plant leaf,2012,NA,ViralProj307870,Viruses,Geminiviridae,Begomovirus,Okra leaf curl Oman virus,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Bhendi yellow vein Haryana virus,GCF_004786815.1,NA,"Venkataravanappa,V., Lakshminarayanareddy,C., Devaraju, Swarnalatha,P., Jalali,S., Krishnareddy,M.",2019-06-28T15:08:15Z,OY76,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,NA,"India: Karnal, Haryana",India,NA,plant leaf,NA,NA,ASM478681v1,Viruses,Geminiviridae,Begomovirus,Bhendi yellow vein Haryana virus,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Sida yellow vein alphasatellite,GCF_000923555.1,NA,"Kaur,G., Sharma,A., Sarao,N.K.",2015-02-22T19:02:10Z,India:Okra:Hsp:2013,NA,Alphasatellitidae,ssDNA,RefSeq,NA,NA,NA,India,India,NA,NA,2013-06-06,NA,ViralProj253217,Viruses,Alphasatellitidae,,Sida yellow vein alphasatellite,unclassified Begomovirus-associated alphasatellites,,Viruses,,,,Geminialphasatellitinae,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Okra leaf curl virus,GCF_000885075.1,NA,"Leke,W.N., Besem,E.N., Njualem,D.K., Titanji,V.P., Legg,J.P., Fondong,V.N., Ngeve,J.M., Zok,S., Brown,J.K., Kvarnheden,A.",2015-02-22T18:06:18Z,LY11,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Cameroon:Lysoka,Cameroon,NA,NA,NA,NA,ViralProj39605,Viruses,Geminiviridae,Begomovirus,Okra leaf curl virus,unclassified Begomovirus,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Okra yellow mosaic Mexico virus,GCF_000889735.1,NA,"De La Torre-Almaraz,R., Monsalvo-Reyes,A., Ambriz-Granados,S., Arguello-Astorga,G.R., Monsalvo-Reyes,R., De la Torre-Almaraz,R., Mauricio-Castillo,J.A.",2015-02-22T18:12:51Z,Mazatepec-3,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Mexico: Morelos,Mexico,NA,NA,2004,NA,ViralMultiSegProj48103,Viruses,Geminiviridae,Begomovirus,Okra yellow mosaic Mexico virus,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Okra mottle virus,GCF_000875625.1,NA,"Aranha,S.A., Inoue-Nagata,A.K.",2015-02-13T08:40:28Z,6319,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Brazil,Brazil,NA,plant leaf,2008-02,NA,ViralMultiSegProj31095,Viruses,Geminiviridae,Begomovirus,Okra mottle virus,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Bhendi yellow vein Bhubhaneswar virus,GCF_000881075.1,NA,"Venkataravanappa,V., Lakshminarayanareddy,C., Devaraju, Swarnalatha,P., Jalali,S., Krishnareddy,M.",2015-02-22T18:02:45Z,OYBHU,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,NA,"India: Bhubhaneswar, Orissa",India,NA,plant leaf,2003,NA,ViralProj33885,Viruses,Geminiviridae,Begomovirus,Bhendi yellow vein Bhubhaneswar virus,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Tomato leaf curl Cameroon virus,GCF_000885495.1,NA,"Leke,W.N., Bessem,E.N., NJualem,D.K., Titanji,V.P., Legg,J.P., Fondong,V.N., Ngeve,J.M., Zok,S., Brown,J.K., Kvarnheden,A.",2015-02-22T18:06:57Z,TOS2B1F4,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Cameroon:Buea,Cameroon,NA,NA,NA,NA,ViralProj42743,Viruses,Geminiviridae,Begomovirus,Tomato leaf curl Cameroon virus,unclassified Begomovirus,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Bhendi yellow vein mosaic betasatellite,GCF_000889595.1,NA,"Venkataravanappa,V., Reddy,C.N., Swaranalatha,P., Jalali,S., Briddon,R.W., Reddy,M.K., Lakshiminarayanareddy,C.N., Krishnareddy,M.",2015-02-22T18:12:43Z,OYCo1,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,"India: Coimbator, Tamil Nadu",India,NA,plant leaf,2005,NA,ViralProj61777,Viruses,Tolecusatellitidae,Betasatellite,Bhendi yellow vein mosaic betasatellite,,,Viruses,,,,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Bendhi Yellow Vein Mosaic/Mesta Yellow Vein Mosaic alphasatellite,GCF_003034035.1,NA,"Zaffalon,V., Mukherjee,S.K., Reddy,V.S., Thompson,J.R., Tepfer,M.",2018-08-26T16:35:11Z,NA,NA,Alphasatellitidae,ssDNA,RefSeq,NA,NA,1,India:Haryana,India,NA,NA,2007-09,NA,ASM303403v1,Viruses,Alphasatellitidae,,Bendhi Yellow Vein Mosaic/Mesta Yellow Vein Mosaic alphasatellite,unclassified Begomovirus-associated alphasatellites,,Viruses,,,,Geminialphasatellitinae,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Bhendi yellow vein mosaic virus-associated alphasatellite,GCF_000898635.1,NA,"Hernandez-Zepeda,C., Sharma,A., Suescun-Bolivar,L.P., Brown,J.K.",2015-02-22T18:25:02Z,BYVMVA[Okra:Ropar:2010],NA,Alphasatellitidae,ssDNA,RefSeq,NA,NA,NA,India,India,NA,NA,2010-07,NA,ViralProj174781,Viruses,Alphasatellitidae,,Bhendi yellow vein mosaic virus-associated alphasatellite,unclassified Begomovirus-associated alphasatellites,,Viruses,,,,Geminialphasatellitinae,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Ageratum yellow vein Pakistan alphasatellite,GCF_001962155.1,NA,"Abbas,Q., Briddon,R.W.",2017-01-20T01:10:24Z,H5A1,NA,Alphasatellitidae,ssDNA,RefSeq,NA,NA,NA,Pakistan:Dharam Kot,Pakistan,NA,NA,2013,NA,ViralProj361920,Viruses,Alphasatellitidae,,Ageratum yellow vein Pakistan alphasatellite,unclassified Begomovirus-associated alphasatellites,,Viruses,,,,Geminialphasatellitinae,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Okra enation leaf curl virus,GCF_001866875.1,NA,"Tharmila,C.J., Jeyaseelan,E.C., Ullah,I., Wetten,A.C., De Costa,D.M., Shaw,M.W.",2016-11-06T01:00:44Z,Trincomalee,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Sri Lanka,Sri Lanka,NA,plant leaf,2015-06-19,NA,ViralProj352514,Viruses,Geminiviridae,Begomovirus,Okra enation leaf curl virus,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Luffa puckering and leaf distortion-associated betasatellite [India:Gurdaspur:Okra:2013],GCF_000921035.1,NA,"Sharma,A., Kaur,G., Sarao,N.K.",2015-02-22T18:59:05Z,India:Gurdaspur:Okra:2013,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India,India,NA,NA,2013-08,NA,ViralProj253218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Okra leaf curl India virus,GCF_000890435.1,NA,"Venkataravanappa,V., Lakshminarayana Reddy,C.N., Jalali,S., Krishna Reddy,M., Lakshiminarayanareddy,C.N., Devaraju, Swaranalatha,P., Krishnareddy,M.",2015-02-22T18:13:35Z,EL14A,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,1,"India: Sonipat, Haryana",India,NA,plant leaf,2006,NA,ViralProj61559,Viruses,Geminiviridae,Begomovirus,Okra leaf curl India virus,unclassified Begomovirus,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Malachra yellow vein mosaic betasatellite,GCF_001430415.1,NA,"Venkataravanappa,V., Chauhan,N.S., Sanwal,S.K., Singh,B., Krishna Reddy,M.",2015-11-03T01:01:48Z,OK113,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,"India: Punjab, Ludhiana",India,NA,plant leaf,2014,NA,ViralProj300249,Viruses,Tolecusatellitidae,Betasatellite,Malachra yellow vein mosaic betasatellite,unclassified Betasatellite,,Viruses,,,,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Okra leaf curl alphasatellite,GCF_000844465.1,NA,"Briddon,R.W., Bull,S.E., Amin,I., Mansoor,S., Bedford,I.D., Rishi,N., Siwatch,S.S., Zafar,Y., Abdel-Salam,A.M., Markham,P.G.",2015-02-12T16:37:11Z,NA,NA,Alphasatellitidae,ssDNA,RefSeq,NA,NA,1,Pakistan,Pakistan,NA,NA,NA,NA,ViralProj14386,Viruses,Alphasatellitidae,,Okra leaf curl alphasatellite,unclassified Begomovirus-associated alphasatellites,,Viruses,,,,Geminialphasatellitinae,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus manihot subsp. tetraphyllus,Ageratum conyzoides symptomless alphasatellite,GCF_001429995.1,NA,"Venkataravanappa,V., Chauhan,N.S., Krishna Reddy,M.",2015-11-03T01:01:19Z,WOK80,NA,Alphasatellitidae,ssDNA,RefSeq,NA,NA,NA,"India: Uttar Pradesh, Varanasi",India,NA,plant leaf,2014,NA,ViralProj300248,Viruses,Alphasatellitidae,,Ageratum conyzoides symptomless alphasatellite,unclassified Begomovirus-associated alphasatellites,,Viruses,,,,Geminialphasatellitinae,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus manihot,,,,,,,,,,,,Abelmoschus manihot subsp. tetraphyllus,,,,,,,,
Abelmoschus tuberculatus,Mesta yellow vein mosaic virus alphasatellite,GCF_001430315.1,NA,"Venkataravanappa,V., Chauhan,N.S., Krishna Reddy,M.",2015-11-03T01:01:42Z,WOK75,NA,Alphasatellitidae,ssDNA,RefSeq,NA,NA,NA,"India: Uttar Pradesh, Varanasi",India,NA,plant leaf,2014,NA,ViralProj300228,Viruses,Alphasatellitidae,,Mesta yellow vein mosaic virus alphasatellite,unclassified Begomovirus-associated alphasatellites,,Viruses,,,,Geminialphasatellitinae,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus tuberculatus,,,,,,,,,,,,,,,,,,,,
Abutilon,Abutilon Brazil virus,GCF_000889055.1,NA,"Paprotka,T., Metzler,V., Jeske,H.",2015-02-22T18:12:11Z,NA,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,1,Brazil:Bahia,Brazil,NA,NA,2007-11-06,SAMEA3283097,ViralMultiSegProj48591,Viruses,Geminiviridae,Begomovirus,Abutilon Brazil virus,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abutilon,,,,,,,,,,,,,,,,,,,,,
